Date,Price,USD / MYR Price
7/6/2001,265.10,3.8
7/9/2001,266.10,3.8
7/10/2001,267.50,3.8
7/11/2001,267.60,3.8
7/12/2001,266.30,3.8
7/13/2001,266.40,3.8
7/16/2001,268.30,3.8
7/17/2001,267.60,3.8
7/18/2001,268.60,3.8
7/19/2001,270.30,3.8
7/20/2001,269.70,3.8
7/23/2001,268.70,3.8
7/24/2001,268.80,3.8
7/25/2001,268.40,3.8
7/26/2001,267.50,3.8
7/27/2001,266.20,3.8
7/30/2001,266.30,3.8
7/31/2001,265.90,3.8
8/1/2001,267.40,3.8
8/2/2001,267.00,3.8
8/3/2001,267.90,3.8
8/6/2001,267.20,3.8
8/7/2001,266.50,3.8
8/8/2001,266.40,3.8
8/9/2001,270.00,3.8
8/10/2001,275.80,3.8
8/13/2001,275.60,3.8
8/14/2001,274.50,3.8
8/15/2001,275.40,3.8
8/16/2001,275.90,3.8
8/17/2001,277.50,3.8
8/20/2001,276.70,3.8
8/21/2001,276.30,3.8
8/22/2001,275.90,3.8
8/23/2001,274.90,3.8
8/24/2001,272.80,3.8
8/27/2001,272.80,3.8
8/28/2001,271.10,3.8
8/29/2001,272.90,3.8
8/30/2001,272.30,3.8
8/31/2001,273.00,3.8
9/3/2001,273.40,3.8
9/4/2001,272.30,3.8
9/5/2001,271.30,3.8
9/6/2001,272.10,3.8
9/7/2001,273.60,3.8
9/10/2001,271.50,3.8
9/11/2001,287.00,3.8
9/12/2001,279.00,3.8
9/13/2001,280.30,3.8
9/14/2001,285.80,3.8
9/17/2001,293.30,3.8
9/18/2001,289.40,3.8
9/19/2001,288.10,3.8
9/20/2001,288.50,3.8
9/21/2001,292.50,3.8
9/24/2001,288.20,3.8
9/25/2001,288.00,3.8
9/26/2001,291.50,3.8
9/27/2001,289.80,3.8
9/28/2001,293.10,3.8
10/1/2001,290.60,3.8
10/2/2001,291.70,3.8
10/3/2001,290.10,3.8
10/4/2001,290.40,3.8
10/5/2001,291.20,3.8
10/8/2001,291.90,3.8
10/9/2001,290.00,3.7999
10/10/2001,287.20,3.8
10/11/2001,281.90,3.8
10/12/2001,281.80,3.7999
10/15/2001,281.90,3.8
10/16/2001,281.10,3.8
10/17/2001,281.60,3.8
10/18/2001,281.00,3.8
10/19/2001,279.20,3.8
10/22/2001,275.90,3.8
10/23/2001,276.10,3.8
